Group3,7/16/19 12:28,0, (0,0, 0) ,40.0101432,99719.65191,170.75,0.078,2.239,2.971,0.471
Group3,7/16/19 12:29,27660, (125,118, 124) ,40.1660448,99712.7421,141.07,0.078,2.446,2.968,0.426
Group3,7/16/19 12:30,24106, (123,118, 124) ,40.28606449,99713.82753,139.59,0.078,2.464,2.968,0.42
Group3,7/16/19 12:31,23811, (129,122, 129) ,40.23966511,99705.30153,140.38,0.078,2.221,2.968,0.426
Group3,7/16/19 12:32,24174, (128,122, 128) ,40.6250901,99701.11008,140.48,0.078,2.506,2.968,0.42
Group3,7/16/19 12:33,23701, (128,120, 126) ,40.76026766,99696.12203,140.28,0.075,2.305,2.968,0.417
Group3,7/16/19 12:34,23165, (128,121, 128) ,40.96257041,99703.44731,140.44,0.078,2.467,2.968,0.423
Group3,7/16/19 12:35,22486, (130,124, 131) ,41.02165281,99701.0339,140.8,0.078,2.581,2.968,0.423
Group3,7/16/19 12:28,0, (0,0, 0) ,40.15305299,99540.05202,251.1,0.081,2.437,2.548,0.432
Group3,7/16/19 12:29,17026, (88,97, 110) ,39.86011911,99486.63314,243.21,0.078,2.494,2.446,0.414
Group3,7/16/19 12:30,57683, (107,104, 107) ,39.17991014,99509.13664,242.63,0.078,2.434,2.44,0.414
Group3,7/16/19 12:31,58068, (111,108, 111) ,40.09737382,99515.37572,243.09,0.078,2.389,2.44,0.417
Group3,7/16/19 12:32,63749, (108,105, 108) ,40.2777126,99519.43314,242.67,0.078,2.401,2.44,0.417
Group3,7/16/19 12:33,65535, (115,111, 113) ,40.76397963,99501.9364,242.83,0.075,1.822,2.44,0.408
Group4,7/16/19 12:18,0, (0,0, 0) ,40.05556694,99461.1707,333.59,0.069,2.482,0.705,0.483
Group4,7/16/19 12:19,5138, (119,112, 123) ,40.6334657,99441.52102,336.29,0.069,2.197,0.669,0.477
Group4,7/16/19 12:20,30422, (131,115, 119) ,40.46656539,99460.58255,336.96,0.069,2.194,0.63,0.456
Group4,7/16/19 12:21,29076, (134,118, 122) ,41.28262972,99465.87323,336.1,0.069,2.503,0.714,0.48
Group4,7/16/19 12:22,29533, (134,118, 122) ,41.80021418,99456.96743,336.48,0.069,2.464,0.648,0.465
Group4,7/16/19 12:23,20591, (138,122, 126) ,42.28185808,99452.68575,336.8,0.069,2.515,0.609,0.465
Group5,7/16/19 11:57,2287, (107,85, 54) ,29.0251775,98959.52832,273.17,0.15,2.815,0.582,1.936
Group5,7/16/19 12:00,0, (0,0, 0) ,34.52556927,99802.64375,27.64,0.309,2.725,0.705,0.519
Group5,7/16/19 12:01,8802, (199,161, 160) ,35.40320898,99799.94581,136.05,0.171,2.533,0.585,0.477
Group5,7/16/19 12:02,8554, (200,163, 162) ,36.40769896,99784.37827,134.95,0.162,2.533,0.576,0.474
Group5,7/16/19 12:03,8533, (200,164, 163) ,37.23077559,99785.30828,136.2,0.162,2.446,0.591,0.48
Group5,7/16/19 12:04,8553, (200,163, 162) ,38.21264763,99781.92205,134.65,0.162,2.641,0.69,0.519
Group5,7/16/19 12:00,0, (0,0, 0) ,39.68733789,99763.2742,334.13,0.18,2.398,0.687,0.486
Group5,7/16/19 12:01,9278, (181,151, 154) ,39.78565149,99760.18045,210.96,0.153,2.485,0.624,0.486
Group5,7/16/19 12:02,9186, (179,151, 154) ,40.2489985,99756.93975,210.71,0.153,2.443,0.609,0.495
Group5,7/16/19 12:03,9969, (177,148, 152) ,40.5684427,99744.77689,210.5,0.153,2.353,0.666,0.48
Group5,7/16/19 12:00,0, (0,0, 0) ,40.51292755,99698.12049,354.89,0.174,2.476,0.576,0.48
Group5,7/16/19 12:01,10683, (163,133, 134) ,40.77685743,99702.89994,332.03,0.147,2.515,0.588,0.456
Group5,7/16/19 12:02,5813, (160,125, 128) ,41.10684846,99702.41295,333.62,0.147,2.281,0.843,0.447
Group5,7/16/19 12:03,11900, (166,126, 125) ,41.66293589,99699.64802,332.81,0.147,2.32,0.588,0.453
Group5,7/16/19 12:04,11809, (165,126, 125) ,42.20600082,99695.56139,331.88,0.147,2.257,0.582,0.471
Group5,7/16/19 12:00,0, (0,0, 0) ,39.50435705,99696.71833,342.07,0.177,2.479,0.627,0.474
Group5,7/16/19 12:01,9981, (169,139, 140) ,39.84829933,99685.24496,314.73,0.153,2.449,0.552,0.477
Group5,7/16/19 12:02,11039, (165,137, 137) ,40.31660892,99685.8261,315.21,0.15,2.5,0.606,0.468
Group5,7/16/19 12:03,8586, (164,137, 139) ,40.66675732,99685.08655,315.4,0.15,2.479,0.531,0.489
Group5,7/16/19 12:04,14116, (176,124, 125) ,41.11646288,99683.54023,313.57,0.15,2.626,0.681,0.495
Group5,7/16/19 12:05,15425, (184,115, 116) ,41.65611271,99678.65236,315.12,0.15,2.575,0.657,0.51
Group5,7/16/19 12:06,14875, (185,114, 116) ,42.24787062,99672.26619,314.7,0.147,2.656,0.675,0.483
Group5,7/16/19 12:07,13282, (181,125, 125) ,42.82257448,99669.97078,315.14,0.15,2.56,0.549,0.468
Group5,7/16/19 12:08,12702, (175,126, 125) ,43.04247029,99671.98016,313.89,0.15,2.302,0.648,0.486
Group5,7/16/19 12:00,0, (0,0, 0) ,39.06272357,99459.98656,24.28,0.231,0.18,0.354,0.468
Group5,7/16/19 12:01,10362, (165,141, 145) ,38.99077227,99459.78941,156.51,0.153,0.174,0.345,0.471
